   UT, hrs       ALT, km       Ne, el/m^3  
    10.60          200.0     9.755e+10 
    10.60          205.0     1.016e+11 
    10.60          210.0     1.015e+11 
    10.60          215.0     1.016e+11 
    10.60          220.0     1.026e+11 
    10.60          225.0     1.040e+11 
    10.60          230.0     1.053e+11 
    10.60          235.0     1.101e+11 
    10.60          240.0     1.136e+11 
    10.60          245.0     1.153e+11 
    10.60          250.0     1.163e+11 
    10.60          255.0     1.168e+11 
    10.60          260.0     1.168e+11 
    10.60          265.0     1.162e+11 
    10.60          270.0     1.155e+11 
    10.60          275.0     1.145e+11 
    10.60          280.0     1.129e+11 
    10.60          285.0     1.107e+11 
    10.60          290.0     1.079e+11 
    10.60          295.0     1.044e+11 
    10.60          300.0     1.004e+11 
    10.60          305.0     9.620e+10 
    10.60          310.0     9.197e+10 
    10.60          315.0     8.801e+10 
    10.60          320.0     8.447e+10 
    10.60          325.0     8.137e+10 
    10.60          330.0     7.869e+10 
    10.60          335.0     7.637e+10 
    10.60          340.0     7.405e+10 
    10.60          345.0     7.160e+10 
    10.60          350.0     6.904e+10 
    10.60          355.0     6.636e+10 
    10.60          360.0     6.357e+10 
    10.60          365.0     6.074e+10 
    10.60          370.0     5.814e+10 
    10.60          375.0     5.576e+10 
    10.60          380.0     5.363e+10 
    10.60          385.0     5.170e+10 
    10.60          390.0     4.977e+10 
    10.60          395.0     4.750e+10 
    10.60          400.0     4.485e+10 
    10.60          405.0     4.226e+10 
    10.60          410.0     4.001e+10 
    10.60          415.0     3.833e+10 
    10.60          420.0     3.733e+10 
    10.60          425.0     3.725e+10 
    10.60          430.0     3.761e+10 
    10.60          435.0     3.818e+10 
    10.60          440.0     3.846e+10 
    10.60          445.0     3.803e+10 
    10.60          450.0     3.668e+10 
    10.60          455.0     3.448e+10 
    10.60          460.0     3.251e+10 
    10.60          465.0     3.135e+10 
    10.60          470.0     3.138e+10 
    10.60          475.0     3.231e+10 
    10.60          480.0     3.361e+10 
    10.60          485.0     3.411e+10 
    10.60          490.0     3.373e+10 
    10.60          495.0     3.279e+10 
    10.60          500.0     3.174e+10 
    10.60          505.0     3.113e+10 
    10.60          510.0     3.092e+10 
    10.60          515.0     3.061e+10 
    10.60          520.0     2.976e+10 
    10.60          525.0     2.820e+10 
    10.60          530.0     2.625e+10 
    10.60          535.0     2.431e+10 
    10.60          540.0     2.292e+10 
    10.60          545.0     2.220e+10 
    10.60          550.0     2.197e+10 
    10.60          555.0     2.185e+10 
    10.60          560.0     2.155e+10 
    10.60          565.0     2.130e+10 
    10.60          570.0     2.153e+10 
    10.60          575.0     2.228e+10 
    10.60          580.0     2.361e+10 
    10.60          585.0     2.445e+10 
    10.60          590.0     2.563e+10 
    10.60          595.0     2.667e+10 
    10.60          600.0     2.772e+10 
    10.70           90.0     3.287e+10 
    10.70           95.0     3.115e+10 
    10.70          100.0     3.423e+10 
    10.70          105.0     3.765e+10 
    10.70          110.0     3.971e+10 
    10.70          115.0     4.208e+10 
    10.70          120.0     4.462e+10 
    10.70          125.0     4.546e+10 
    10.70          130.0     4.595e+10 
    10.70          135.0     4.788e+10 
    10.70          140.0     5.183e+10 
    10.70          145.0     5.682e+10 
    10.70          150.0     6.125e+10 
    10.70          155.0     6.558e+10 
    10.70          160.0     7.100e+10 
    10.70          165.0     7.467e+10 
    10.70          170.0     7.810e+10 
    10.70          175.0     8.185e+10 
    10.70          180.0     8.626e+10 
    10.70          185.0     8.923e+10 
    10.70          190.0     9.403e+10 
    10.70          195.0     9.946e+10 
    10.70          200.0     1.050e+11 
    10.70          205.0     1.091e+11 
    10.70          210.0     1.087e+11 
    10.70          215.0     1.086e+11 
    10.70          220.0     1.093e+11 
    10.70          225.0     1.105e+11 
    10.70          230.0     1.117e+11 
    10.70          235.0     1.166e+11 
    10.70          240.0     1.202e+11 
    10.70          245.0     1.220e+11 
    10.70          250.0     1.230e+11 
    10.70          255.0     1.235e+11 
    10.70          260.0     1.236e+11 
    10.70          265.0     1.230e+11 
    10.70          270.0     1.223e+11 
    10.70          275.0     1.214e+11 
    10.70          280.0     1.197e+11 
    10.70          285.0     1.174e+11 
    10.70          290.0     1.144e+11 
    10.70          295.0     1.108e+11 
    10.70          300.0     1.065e+11 
    10.70          305.0     1.023e+11 
    10.70          310.0     9.795e+10 
    10.70          315.0     9.399e+10 
    10.70          320.0     9.048e+10 
    10.70          325.0     8.741e+10 
    10.70          330.0     8.474e+10 
    10.70          335.0     8.237e+10 
    10.70          340.0     7.996e+10 
    10.70          345.0     7.736e+10 
    10.70          350.0     7.458e+10 
    10.70          355.0     7.164e+10 
    10.70          360.0     6.863e+10 
    10.70          365.0     6.554e+10 
    10.70          370.0     6.274e+10 
    10.70          375.0     6.023e+10 
    10.70          380.0     5.799e+10 
    10.70          385.0     5.595e+10 
    10.70          390.0     5.387e+10 
    10.70          395.0     5.140e+10 
    10.70          400.0     4.845e+10 
    10.70          405.0     4.560e+10 
    10.70          410.0     4.317e+10 
    10.70          415.0     4.145e+10 
    10.70          420.0     4.053e+10 
    10.70          425.0     4.056e+10 
    10.70          430.0     4.094e+10 
    10.70          435.0     4.144e+10 
    10.70          440.0     4.157e+10 
    10.70          445.0     4.095e+10 
    10.70          450.0     3.951e+10 
    10.70          455.0     3.729e+10 
    10.70          460.0     3.542e+10 
    10.70          465.0     3.439e+10 
    10.70          470.0     3.455e+10 
    10.70          475.0     3.555e+10 
    10.70          480.0     3.681e+10 
    10.70          485.0     3.720e+10 
    10.70          490.0     3.665e+10 
    10.70          495.0     3.557e+10 
    10.70          500.0     3.443e+10 
    10.70          505.0     3.382e+10 
    10.70          510.0     3.368e+10 
    10.70          515.0     3.337e+10 
    10.70          520.0     3.242e+10 
    10.70          525.0     3.065e+10 
    10.70          530.0     2.845e+10 
    10.70          535.0     2.628e+10 
    10.70          540.0     2.483e+10 
    10.70          545.0     2.416e+10 
    10.70          550.0     2.404e+10 
    10.70          555.0     2.400e+10 
    10.70          560.0     2.369e+10 
    10.70          565.0     2.328e+10 
    10.70          570.0     2.317e+10 
    10.70          575.0     2.353e+10 
    10.70          580.0     2.434e+10 
    10.70          585.0     2.490e+10 
    10.70          590.0     2.580e+10 
    10.70          595.0     2.655e+10 
    10.70          600.0     2.722e+10 
    10.80           90.0     3.494e+10 
    10.80           95.0     3.361e+10 
    10.80          100.0     3.697e+10 
    10.80          105.0     4.041e+10 
    10.80          110.0     4.255e+10 
    10.80          115.0     4.515e+10 
    10.80          120.0     4.763e+10 
    10.80          125.0     4.826e+10 
    10.80          130.0     4.866e+10 
    10.80          135.0     5.062e+10 
